Fecha de extracción,Hora ejecución,Timestamp ejecución,Ciudad,Nombre,Promoción (texto),Descuento normal (%),Rating,Reviews Number,Categoria,Link,Prime,Descuento prime,Tipo de reparto,Estado
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,valencia,Restaurante Ma Khin,-,-,100%,(36),-,https://glovoapp.com/es/es/valencia/stores/ma-khin-cafe-valencia,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,valencia,Horchatería Daniel,-,-,100%,(10),-,https://glovoapp.com/es/es/valencia/stores/horchateria-daniel,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,valencia,La Petite Brioche,-,-,92%,(20),-,https://glovoapp.com/es/es/valencia/stores/la-petite-brioche,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,valencia,Turtle Smash,-,-,75%,(29),-,https://glovoapp.com/es/es/valencia/stores/turtle-smash-valencia,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,valencia,Black Turtle,-,-,97%,(98),-,https://glovoapp.com/es/es/valencia/stores/the-black-turtle-valencia,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,malaga,Lasagna Mi,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/lasagnami-malaga,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,malaga,Starbucks,-30% algunos productos,-30,93%,(107),-,https://glovoapp.com/es/es/malaga/stores/starbucks-malaga,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,malaga,Captain Candy Shop,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/captain-candy-shop-malaga,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,malaga,De Nata,-,-,100%,(14),-,https://glovoapp.com/es/es/malaga/stores/de-nata-malaga,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,malaga,El Secreto De Las Chinitas,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/el-secreto-de-las-chinitas-malaga,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,alicante,Wokamama,-,-,--,-,-,https://glovoapp.com/es/es/alicante/stores/honest-burgers-alicante,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,alicante,The Fuckin Kebap,-10% todo el menú | -20% todo el menú,-10,84%,(10),-,https://glovoapp.com/es/es/alicante/stores/the-fuckin-kebap-alicante,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,alicante,Bulla,-20% algunos productos,-20,98%,(144),-,https://glovoapp.com/es/es/alicante/stores/bulla-alicante,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,alicante,Tumbes Cocina Peruana,-,-,100%,(10),-,https://glovoapp.com/es/es/alicante/stores/tumbes-cocina-peruana-alicante,No,-,Glovo,Abierto
2026-05-11,00:38:21,2026-05-11 00:38:21 CEST,alicante,Café Alberdi,-,-,100%,(19),-,https://glovoapp.com/es/es/alicante/stores/cafe-alberdi-alicante,No,-,Glovo,Abierto
